Date,Trigger_Time,Timestamp,Symbol,Direction,Entry_Price,Exit_Price,SL_Price,Target1_Price,Target2_Price,Shares,Outcome,PnL_Rs,Return_Pct,Capital_After
2023-12-14,09:15 AM,2023-12-14 09:15,APTUS,LONG,320.87,314.45,314.45,330.5,336.91,179,HIT_SL,-1148.72,-0.009982,113934.27
2023-12-14,09:15 AM,2023-12-14 09:15,AEGISLOG,LONG,385.56,377.85,377.85,397.13,404.84,147,HIT_SL,-1133.56,-0.009949,112800.71
2023-12-15,09:15 AM,2023-12-15 09:15,360ONE,LONG,692.55,678.7,678.7,713.32,727.18,81,HIT_SL,-1121.93,-0.009946,111678.79
2023-12-15,09:15 AM,2023-12-15 09:15,APTUS,LONG,315.51,309.2,309.2,324.97,331.28,176,HIT_SL,-1110.59,-0.009945,110568.2
2023-12-15,09:15 AM,2023-12-15 09:15,BLS,LONG,307.68,301.53,301.53,316.91,323.06,179,HIT_SL,-1101.49,-0.009962,109466.71
2023-12-18,09:15 AM,2023-12-18 09:15,ANGELONE,LONG,311.79,321.15,305.56,321.15,327.38,175,HIT_T1,1636.92,0.014954,111103.62
2023-12-18,09:15 AM,2023-12-18 09:15,BSOFT,LONG,690.43,688.07,676.62,711.14,724.95,80,EXPIRED_SAME_DAY,-188.24,-0.001694,110915.39
2023-12-18,09:15 AM,2023-12-18 09:15,BLS,LONG,300.27,309.28,294.27,309.28,315.28,184,HIT_T1,1657.49,0.014944,112572.88
2023-12-19,09:15 AM,2023-12-19 09:15,ANGELONE,LONG,320.43,314.02,314.02,330.05,336.45,175,HIT_SL,-1121.52,-0.009963,111451.36
2023-12-19,09:15 AM,2023-12-19 09:15,BDL,LONG,757.49,742.34,742.34,780.21,795.36,73,HIT_SL,-1105.93,-0.009923,110345.43
2023-12-19,09:15 AM,2023-12-19 09:15,BSOFT,LONG,689.56,688.31,675.77,710.25,724.04,80,EXPIRED_SAME_DAY,-99.88,-0.000905,110245.55
2023-12-20,09:15 AM,2023-12-20 09:15,BLUEJET,LONG,362.57,355.31,355.31,373.44,380.69,152,HIT_SL,-1102.2,-0.009998,109143.36
2023-12-20,09:15 AM,2023-12-20 09:15,BDL,LONG,753.49,776.09,738.42,776.09,791.16,72,HIT_T1,1627.54,0.014912,110770.89
2023-12-20,09:15 AM,2023-12-20 09:15,BEML,LONG,1350.41,1323.41,1323.41,1390.93,1417.94,41,HIT_SL,-1107.34,-0.009997,109663.55
2023-12-21,09:15 AM,2023-12-21 09:15,BDL,LONG,715.44,751.21,701.13,736.9,751.21,76,HIT_T2,2718.68,0.024791,112382.23
2023-12-21,09:15 AM,2023-12-21 09:15,BRIGADE,LONG,634.17,653.19,621.48,653.19,665.87,88,HIT_T1,1674.2,0.014897,114056.43
2023-12-21,09:15 AM,2023-12-21 09:15,BSOFT,LONG,668.43,688.49,655.07,688.49,701.86,85,HIT_T1,1704.51,0.014944,115760.94
2023-12-22,09:15 AM,2023-12-22 09:15,BDL,LONG,765.78,775.37,750.46,788.75,804.07,75,EXPIRED_SAME_DAY,719.86,0.006218,116480.79
2023-12-22,09:15 AM,2023-12-22 09:15,BLUEJET,LONG,359.68,359.97,352.48,370.47,377.66,161,EXPIRED_SAME_DAY,48.12,0.000413,116528.91
2023-12-22,09:15 AM,2023-12-22 09:15,BEML,LONG,1345.04,1385.4,1318.14,1385.4,1412.3,43,HIT_T1,1735.11,0.01489,118264.02
2023-12-26,09:15 AM,2023-12-26 09:15,BDL,LONG,783.15,822.3,767.48,806.64,822.3,75,HIT_T2,2936.8,0.024833,121200.82
2023-12-26,09:15 AM,2023-12-26 09:15,BEML,LONG,1379.38,1420.77,1351.8,1420.77,1448.35,43,HIT_T1,1779.41,0.014681,122980.23
2023-12-26,09:15 AM,2023-12-26 09:15,ACUTAAS,LONG,600.65,588.64,588.64,618.67,630.68,102,HIT_SL,-1225.33,-0.009964,121754.9
2023-12-27,09:15 AM,2023-12-27 09:15,BEML,LONG,1418.95,1390.57,1390.57,1461.52,1489.89,42,HIT_SL,-1191.92,-0.009789,120562.99
2023-12-27,09:15 AM,2023-12-27 09:15,BDL,LONG,839.4,881.37,822.61,864.59,881.37,71,HIT_T2,2979.88,0.024716,123542.87
2023-12-27,09:15 AM,2023-12-27 09:15,BBTC,LONG,1440.56,1512.59,1411.75,1483.78,1512.59,42,HIT_T2,3025.17,0.024487,126568.04
2023-12-28,09:15 AM,2023-12-28 09:15,BDL,LONG,862.15,844.91,844.91,888.02,905.26,73,HIT_SL,-1258.74,-0.009945,125309.3
2023-12-28,09:15 AM,2023-12-28 09:15,3MINDIA,LONG,33713.34,33416.9,33039.07,34724.74,35399.01,1,EXPIRED_SAME_DAY,-296.44,-0.002366,125012.85
2023-12-28,09:15 AM,2023-12-28 09:15,BBTC,LONG,1494.8,1481.31,1464.9,1539.64,1569.54,41,EXPIRED_SAME_DAY,-552.97,-0.004423,124459.89
2023-12-29,09:15 AM,2023-12-29 09:15,BBTC,LONG,1471.5,1545.08,1442.07,1515.65,1545.08,42,HIT_T2,3090.16,0.024829,127550.05
2023-12-29,09:15 AM,2023-12-29 09:15,BDL,LONG,841.65,845.0,824.82,866.9,883.73,75,EXPIRED_SAME_DAY,251.67,0.001973,127801.72
2023-12-29,09:15 AM,2023-12-29 09:15,3MINDIA,LONG,33417.47,35088.34,32749.12,34419.99,35088.34,1,HIT_T2,1670.87,0.013074,129472.59
2024-01-01,09:15 AM,2024-01-01 09:15,3MINDIA,LONG,35234.48,34910.65,34529.79,36291.51,36996.2,1,EXPIRED_SAME_DAY,-323.82,-0.002501,129148.77
2024-01-01,09:15 AM,2024-01-01 09:15,BBTC,LONG,1548.8,1517.82,1517.82,1595.26,1626.24,41,HIT_SL,-1270.01,-0.009834,127878.75
2024-01-01,09:15 AM,2024-01-01 09:15,APARINDS,LONG,5981.01,5985.8,5861.39,6160.44,6280.06,10,EXPIRED_SAME_DAY,47.92,0.000375,127926.67
2024-01-02,09:15 AM,2024-01-02 09:15,3MINDIA,LONG,35109.68,34407.48,34407.48,36162.97,36865.16,1,HIT_SL,-702.19,-0.005489,127224.48
2024-01-02,09:15 AM,2024-01-02 09:15,CESC,LONG,124.68,122.18,122.18,128.42,130.91,510,HIT_SL,-1271.7,-0.009996,125952.78
2024-01-02,09:15 AM,2024-01-02 09:15,BBTC,LONG,1482.1,1452.46,1452.46,1526.56,1556.2,42,HIT_SL,-1244.96,-0.009884,124707.82
2024-01-03,09:15 AM,2024-01-03 09:15,3MINDIA,LONG,34186.96,33503.22,33503.22,35212.57,35896.31,1,HIT_SL,-683.74,-0.005483,124024.08
2024-01-03,09:15 AM,2024-01-03 09:15,BHEL,LONG,200.56,196.55,196.55,206.58,210.59,309,HIT_SL,-1239.47,-0.009994,122784.61
2024-01-03,09:15 AM,2024-01-03 09:15,AJANTPHARM,LONG,2088.85,2151.52,2047.07,2151.52,2193.29,29,HIT_T1,1817.3,0.014801,124601.91
2024-01-04,09:15 AM,2024-01-04 09:15,AJANTPHARM,LONG,2126.24,2232.55,2083.72,2190.03,2232.55,29,HIT_T2,3083.05,0.024743,127684.96
2024-01-04,09:15 AM,2024-01-04 09:15,ADANIENSOL,LONG,1210.0,1185.8,1185.8,1246.3,1270.5,52,HIT_SL,-1258.4,-0.009856,126426.56
2024-01-04,09:15 AM,2024-01-04 09:15,BIOCON,LONG,284.88,282.49,279.18,293.43,299.13,221,EXPIRED_SAME_DAY,-528.33,-0.004179,125898.24
2024-01-05,09:15 AM,2024-01-05 09:15,ADANIENSOL,LONG,1180.0,1156.4,1156.4,1215.4,1239.0,53,HIT_SL,-1250.8,-0.009935,124647.44
2024-01-05,09:15 AM,2024-01-05 09:15,AJANTPHARM,LONG,2204.86,2160.76,2160.76,2271.0,2315.1,28,HIT_SL,-1234.72,-0.009906,123412.71
2024-01-05,09:15 AM,2024-01-05 09:15,BIOCON,LONG,284.23,292.76,278.55,292.76,298.45,217,HIT_T1,1850.37,0.014993,125263.08
2024-01-08,09:15 AM,2024-01-08 09:15,BIOCON,LONG,292.05,286.21,286.21,300.82,306.66,214,HIT_SL,-1249.99,-0.009979,124013.09
2024-01-08,09:15 AM,2024-01-08 09:15,ABREL,LONG,1423.97,1495.16,1395.49,1466.69,1495.16,43,HIT_T2,3061.53,0.024687,127074.62
2024-01-08,09:15 AM,2024-01-08 09:15,ADANIPORTS,LONG,1144.63,1153.36,1121.74,1178.97,1201.86,55,EXPIRED_SAME_DAY,480.3,0.00378,127554.92
2024-01-09,09:15 AM,2024-01-09 09:15,ABREL,LONG,1511.43,1532.63,1481.21,1556.78,1587.01,42,EXPIRED_SAME_DAY,890.2,0.006979,128445.12
2024-01-09,09:15 AM,2024-01-09 09:15,ADANIPORTS,LONG,1166.34,1201.33,1143.01,1201.33,1224.65,55,HIT_T1,1924.46,0.014983,130369.57
2024-01-09,09:15 AM,2024-01-09 09:15,BEML,LONG,1596.32,1564.39,1564.39,1644.21,1676.13,40,HIT_SL,-1277.05,-0.009796,129092.52
2024-01-10,09:15 AM,2024-01-10 09:15,ABREL,LONG,1527.46,1573.28,1496.91,1573.28,1603.83,42,HIT_T1,1924.59,0.014909,131017.11
2024-01-10,09:15 AM,2024-01-10 09:15,BEML,LONG,1542.14,1551.28,1511.3,1588.41,1619.25,42,EXPIRED_SAME_DAY,383.86,0.00293,131400.97
2024-01-10,09:15 AM,2024-01-10 09:15,BLS,LONG,358.45,357.76,351.28,369.2,376.37,183,EXPIRED_SAME_DAY,-126.53,-0.000963,131274.44
2024-01-11,09:15 AM,2024-01-11 09:15,ABREL,LONG,1568.25,1536.89,1536.89,1615.3,1646.67,41,HIT_SL,-1285.97,-0.009796,129988.48
2024-01-11,09:15 AM,2024-01-11 09:15,AMBER,LONG,3528.0,3457.44,3457.44,3633.84,3704.4,18,HIT_SL,-1270.08,-0.009771,128718.4
2024-01-11,09:15 AM,2024-01-11 09:15,BEML,LONG,1565.28,1551.01,1533.97,1612.23,1643.54,41,EXPIRED_SAME_DAY,-584.8,-0.004543,128133.6
2024-01-12,09:15 AM,2024-01-12 09:15,ABREL,LONG,1537.41,1506.66,1506.66,1583.53,1614.28,41,HIT_SL,-1260.67,-0.009839,126872.93
2024-01-12,09:15 AM,2024-01-12 09:15,AMBER,LONG,3509.05,3614.32,3438.87,3614.32,3684.5,18,HIT_T1,1894.89,0.014935,128767.81
2024-01-12,09:15 AM,2024-01-12 09:15,BEML,LONG,1555.92,1583.56,1524.8,1602.59,1633.71,41,EXPIRED_SAME_DAY,1133.24,0.008801,129901.05
2024-01-15,09:15 AM,2024-01-15 09:15,AMBER,LONG,3601.1,3709.13,3529.08,3709.13,3781.16,18,HIT_T1,1944.59,0.01497,131845.64
2024-01-15,09:15 AM,2024-01-15 09:15,BLS,LONG,373.86,385.07,366.38,385.07,392.55,176,HIT_T1,1973.96,0.014972,133819.61
2024-01-15,09:15 AM,2024-01-15 09:15,BSOFT,LONG,766.39,751.07,751.07,789.39,804.71,87,HIT_SL,-1333.53,-0.009965,132486.08
2024-01-16,09:15 AM,2024-01-16 09:15,AMBER,LONG,3750.1,3862.6,3675.1,3862.6,3937.61,17,HIT_T1,1912.55,0.014436,134398.63
