Date,Entry_Time,Exit_Time,Symbol,Direction,Entry_Price,Exit_Price,SL_Price,Target1_Price,Target2_Price,Shares,Outcome,PnL_Rs,Return_Pct,Capital_After
2026-07-08,09:15 AM,09:20 AM,ATHERENERG,LONG,1141.1,1154.79,1131.97,1154.79,1163.92,150,HIT_T1,2053.98,0.01493,139627.23
2026-07-08,09:15 AM,09:20 AM,ADANIENSOL,LONG,1637.2,1656.85,1624.1,1656.85,1669.94,106,HIT_T1,2082.52,0.014915,141709.75
2026-07-09,09:15 AM,09:20 AM,CPPLUS,LONG,3554.0,3596.65,3525.57,3596.65,3625.08,49,HIT_T1,2089.75,0.014747,143799.5
2026-07-09,09:15 AM,09:20 AM,BALRAMCHIN,LONG,558.85,570.03,554.38,565.56,570.03,321,HIT_T2,3587.82,0.02495,147387.32
2026-07-09,09:15 AM,09:20 AM,APARINDS,LONG,13471.0,13740.42,13363.23,13632.65,13740.42,13,HIT_T2,3502.46,0.023764,150889.78
2026-07-10,09:15 AM,09:20 AM,BANDHANBNK,LONG,201.37,203.79,199.76,203.79,205.4,936,HIT_T1,2261.79,0.01499,153151.56
2026-07-10,09:15 AM,09:35 AM,ATGL,LONG,708.0,716.5,702.34,716.5,722.16,270,HIT_T1,2293.92,0.014978,155445.48
2026-07-10,09:15 AM,09:20 AM,AARTIIND,LONG,470.05,475.69,466.29,475.69,479.45,413,HIT_T1,2329.57,0.014986,157775.05
2026-07-13,09:15 AM,09:20 AM,BAJAJHLDNG,LONG,10291.0,10496.82,10208.67,10414.49,10496.82,19,HIT_T2,3910.58,0.024786,161685.63
2026-07-13,09:15 AM,09:20 AM,BALRAMCHIN,LONG,569.5,580.89,564.94,576.33,580.89,354,HIT_T2,4032.06,0.024938,165717.69
2026-07-13,09:15 AM,09:20 AM,AFFLE,LONG,1469.9,1499.3,1458.14,1487.54,1499.3,140,HIT_T2,4115.72,0.024836,169833.41
2026-07-14,09:15 AM,09:20 AM,ASTRAL,LONG,1332.1,1348.09,1321.44,1348.09,1358.74,159,HIT_T1,2541.65,0.014966,172375.06
2026-07-14,09:15 AM,09:20 AM,ASIANPAINT,LONG,2588.0,2639.76,2567.3,2619.06,2639.76,83,HIT_T2,4296.08,0.024923,176671.14
2026-07-14,09:15 AM,09:20 AM,ANURAS,LONG,1261.0,1276.13,1250.91,1276.13,1286.22,175,HIT_T1,2648.1,0.014989,179319.24
